20240126	00:30:42	f30eee65-5f7c-4e0a-8e7f-c9cf5a17c058	/	GET
20240126	00:30:42	195e4c6b-da03-41fd-99f9-31b15b091752	/css/style.css	GET
20240126	00:30:49	94a6c022-a81c-4388-b374-58826d5d4cb4	/old	GET
20240126	00:30:49	e9c09399-b835-4daf-b9ab-05fbb04daa96	/css/style.css	GET
20240126	12:07:43	a334101f-72ab-41ce-9dbd-a87322009a54	GET	undefined	/new-page
20240126	12:07:43	e04db3db-cfa9-4e27-bb5c-e4418dbaa79e	GET	undefined	/css/style.css
20240126	12:07:43	53851985-2418-4b98-941a-cb48c8869c17	GET	undefined	/img/img1.jpg
20240126	12:11:23	ef4d4e67-9f07-4945-8465-7db236718864	GET	undefined	/
20240126	12:11:23	7dd609cf-5550-456d-ac50-3cf4a1cd60c9	GET	undefined	/css/style.css
20240126	12:13:35	2abacbeb-620c-460c-8c26-914d29afe177	GET	https://www.google.com	/
20240126	12:16:11	9e7921c3-d34e-4291-a36d-14945baa2d93	GET	https://www.google.com	/
20240126	12:22:13	b5b63a40-fa36-4fcb-b9aa-01f747dc788d	GET	https://www.google.com	/
20240126	12:22:32	c8cb8d03-3c5f-4108-b0c8-2b65de7be4f0	GET	undefined	/
20240126	12:22:48	372b3a32-a5cb-4458-8852-a49148ba7085	GET	https://www.google.com	/
20240126	12:27:08	50baa6d7-fd34-4a44-bba5-fb5f24e3286b	GET	undefined	/
20240126	12:27:08	fd0d2ac0-2f0d-4b13-8ab8-135d6288b5ca	GET	undefined	/favicon.ico
20240126	12:28:02	104c187b-e363-44ee-90c3-77e04b92c655	GET	undefined	/
20240126	12:28:02	49be9e95-35f3-4291-af07-af730fff51ca	GET	undefined	/css/style.css
20240126	12:33:06	45f4423f-101f-48ce-8bc8-dd6aca8afb59	GET	undefined	/
20240126	12:33:06	44468bd0-efaa-4a41-802a-1abf6a97ae4d	GET	undefined	/css/style.css
20240126	12:33:20	62596166-c3b7-4912-a2d0-2bb0b3ccc6c3	GET	undefined	/
20240126	12:34:13	ace45ae4-e017-47c5-8ab1-c2761da82895	GET	undefined	/
20240126	12:34:15	d812b03d-5bd5-40f8-8249-94171d27f612	GET	undefined	/
20240126	12:34:17	b1873ded-968f-40ce-b92f-6e2a2d84198f	GET	undefined	/
20240126	12:34:21	6a9bac5b-01b4-443c-abf0-e5d4a806b06f	GET	undefined	/new-page
20240126	12:34:42	77dc1014-5eb2-4131-9298-84091b7e9716	GET	undefined	/new-page
20240126	12:38:47	11934562-9eba-4455-98f4-ae1c099bc4ce	GET	undefined	/new-pages
20240126	12:38:47	6a98f39b-bc3d-4b9a-a9d5-2381bcf9c902	GET	undefined	/css/style.css
